timestamp,open,high,low,close,volume
1688083200000,28001,28745,27200,27938,638.35941659
1687996800000,27547,28300,27547,28021,291.69437502
1687910400000,28024,28032,27400,27566,275.30740141
1687824000000,27740,28300,27654,28034,253.45470145
1687737600000,27927,28093,27474,27724,336.70983068
1687651200000,28021,28477,27800,27928,201.53125896
1687564800000,28153,28275,27735,28002,315.78984974
1687478400000,27300,28861,27250,28172,696.5513607
1687392000000,27264,27674,26851,27301,487.83486898
1687305600000,25900,28000,25867,27237,1203.98363147
1687219200000,24556,25970,24413,25901,601.64413447
1687132800000,24057,24734,24035,24579,199.56685151
1687046400000,24221,24400,24027,24080,143.69577527
1686960000000,24050,24463,23887,24241,193.28822675
1686873600000,23372,24206,23052,24056,292.20517925
1686787200000,23176,23562,22765,23365,421.50125585
1686700800000,24037,24135,22980,23229,325.21525876
1686614400000,24053,24428,23823,24037,199.6627489
1686528000000,24159,24251,23868,24046,159.21375513
1686441600000,24138,24453,23950,24151,175.86571912
1686355200000,24638,24689,23750,24145,420.99516187
1686268800000,24588,24873,24450,24639,122.87391896
1686182400000,24602,24877,24500,24571,136.41355007
1686096000000,25446,25560,24428,24609,294.76178347
1686009600000,24045,25535,23782,25443,571.03606798
1685923200000,25336,25444,23750,24080,603.50964698
1685836800000,25298,25621,25179,25367,93.83213446
1685750400000,25465,25520,25175,25305,83.65364184
1685664000000,24942,25500,24700,25464,173.71558565
1685577600000,25474,25578,24799,24929,205.1351796
1685491200000,25798,25951,25190,25469,253.09191815
1685404800000,25920,26127,25730,25820,240.3283009
1685318400000,26177,26501,25688,25915,279.41759432
1685232000000,25033,26325,24976,26162,441.90332591
1685145600000,24899,25062,24787,25047,84.63755091
1685059200000,24681,25101,24521,24910,198.67395705
1684972800000,24512,24818,24155,24695,153.75988471
1684886400000,25258,25277,24260,24500,436.38007629
1684800000000,24843,25402,24781,25274,312.21203203
1684713600000,24727,25039,24551,24842,145.17053527
1684627200000,25072,25232,24706,24711,120.40357767
1684540800000,24886,25124,24828,25089,81.04482699
1684454400000,24895,25108,24659,24878,129.45771089
1684368000000,25260,25389,24536,24893,252.04490961
1684281600000,24871,25337,24508,25260,266.70753864
1684195200000,24984,25108,24735,24888,197.64050686
1684108800000,24824,25441,24666,24984,245.26060843
1684022400000,24708,25073,24537,24825,138.38733842
1683936000000,24699,24934,24597,24708,131.72960561
1683849600000,24746,24799,23660,24695,557.77492458
1683763200000,25152,25256,24505,24748,300.49779496
1683676800000,25207,25800,24560,25156,455.64432638
1683590400000,25195,25430,24969,25217,240.53719327
1683504000000,25862,26024,24850,25197,485.33654666
1683417600000,26256,26495,25859,25868,130.03432872
1683331200000,26767,27021,25809,26256,305.92701411
1683244800000,26184,26900,26158,26783,414.61781194
1683158400000,26215,26579,25958,26161,241.31329718
1683072000000,26029,26428,25480,26182,327.62517987
1682985600000,25636,26285,25431,26032,264.37116356
1682899200000,26541,26652,25223,25603,432.31577793
1682812800000,26528,27173,26425,26526,320.92798836
1682726400000,26593,26717,26400,26529,105.44674061
1682640000000,26714,26859,26250,26588,283.44452555
1682553600000,25749,27086,25706,26735,518.89702359
1682467200000,25782,27140,24740,25735,1025.74948526
1682380800000,24896,25880,24646,25795,367.32963987
1682294400000,25140,25481,24494,24876,334.24467126
1682208000000,25503,25580,24973,25136,212.98957669
1682121600000,24794,26045,24700,25503,413.36182912
1682035200000,25756,25880,24700,24793,589.97744646
1681948800000,26328,26540,25550,25757,572.32092598
1681862400000,27670,27750,26200,26343,545.27359222
1681776000000,26989,27765,26725,27691,425.98121423
1681689600000,27600,27622,26800,26978,518.26335376
1681603200000,27596,27800,27450,27625,162.71736055
1681516800000,27724,27834,27513,27577,151.81819641
